"CP","XCOORD","YCOORD"
"01618",-99.2385492391464,19.3547865790776
"01619",-99.2211800729968,19.3583655353984
"01620",-99.2182169048384,19.3635818815203
"01630",-99.227512266811,19.3574157993331
"01640",-99.2327948661247,19.3566449451264
"01645",-99.2257427418721,19.3556618228275
"01650",-99.2380202052266,19.3529371718547
"01700",-99.2282692824125,19.3420429317238
"01708",-99.2271012958759,19.3445026029329
"01710",-99.2080764076503,19.3565330089503
"01720",-99.243316221994,19.3449728884747
"01729",-99.2467925955673,19.3394975236004
"01730",-99.2332742291885,19.3468741011156
"01740",-99.2287352505383,19.3460913385582
"01750",-99.2181050448475,19.3544145792625
"01760",-99.2058073962005,19.3485384811644
"01770",-99.233104910678,19.334023884494
"01780",-99.2280884617632,19.3372625202969
"01789",-99.2147830946182,19.3365815205789
"01790",-99.2104559248869,19.3437647540867
"01800",-99.2705371754156,19.3310752377588
"01807",-99.2593773029059,19.3345107743007
"01810",-99.2564816652486,19.3386291300761
"01820",-99.2507925144935,19.3433783806855
"01830",-99.2889292011739,19.3243647773493
"01840",-99.247847658694,19.3309960034564
"01849",-99.2528526378538,19.3314986782982
"01856",-99.2677761494599,19.3163330326854
"01857",-99.2720914254122,19.3167161904234
"01859",-99.2664552336764,19.322545117105
"01860",-99.267589608013,19.3156360443765
"01870",-99.2583595389076,19.3249637909479
"01900",-99.2073438763035,19.319664317073
"01940",-99.2186108101251,19.3152667929367
"01990",-99.211249954376,19.3082116369969
"02000",-99.1863169089259,19.4811641123235
"02010",-99.1864626275831,19.4869782999137
"02020",-99.1800446115729,19.4871301826451
"02040",-99.1797492092589,19.48166117487
"02050",-99.1796069857129,19.4781864751506
"02060",-99.1775469229843,19.4741254960657
"02070",-99.1864962026704,19.4735504739889
"02080",-99.1794448309838,19.4680099502757
"02090",-99.1837229973181,19.4614146709663
"02099",-99.1891456315122,19.4677722489228
"02100",-99.2014805863839,19.5092455915247
"02109",-99.1945122224349,19.5110600690577
"02110",-99.1884568674364,19.5065143883516
"02120",-99.1916683770761,19.503724144933
"02128",-99.1892755249282,19.50106292404
"02129",-99.1863786550909,19.4995329272036
"02130",-99.2006482993929,19.4994867613228
"02140",-99.1909208339492,19.4949841800193
"02150",-99.1958072498066,19.494395848933
"02160",-99.1913403812661,19.4882262757794
"02169",-99.1919543162677,19.4897294929954
"02200",-99.1875550571401,19.494145412899
"02230",-99.1787864586811,19.4998635253926
"02240",-99.182216403245,19.4927133892806
"02250",-99.1746495597823,19.4921023835575
"02300",-99.1634712740334,19.4952430912741
"02310",-99.1746396781547,19.5033275019941
"02320",-99.1538078460867,19.4901104948099
