"MUN","XCOORD","YCOORD"
"07080",-92.456222958955,15.547320016406
"07081",-92.6250151726797,17.1389228006747
"07082",-92.3482895312221,17.037265993724
"07083",-92.3759458683775,16.1064276342227
"07084",-93.0047906865607,17.3869923644912
"07085",-92.9886745285229,16.9259689718125
"07086",-93.1363321570559,16.585545572537
"07087",-92.2271211196873,14.6393835942644
"07088",-93.2515876435776,17.4888564684923
"07089",-92.3047971805804,14.9339684117643
"07090",-93.1123144459805,17.2201135934369
"07091",-92.9972769340934,17.2509690383923
"07092",-93.5332018474857,17.1982563005383
"07093",-92.4720058954571,16.8331884977958
"07094",-92.5088123359467,16.5611028751831
"07096",-92.48582822228,17.3791892920815
"07097",-93.6905281512097,15.9969906322362
"07098",-92.6599632744253,16.5151553621638
"07099",-91.8994002372894,16.0244430255137
"07100",-92.2696252869836,17.3007897917011
"07101",-93.137285402941,16.739446661126
"07102",-92.198680402847,14.8941049761133
"07103",-92.4115643764932,15.1404413912162
"07104",-92.2464400048076,16.1240830275561
"07105",-92.1025498587648,15.0599528356712
"07106",-92.6078967795258,16.3173125902514
"07107",-93.1976067347886,16.1121521512066
"07108",-93.375188309708,16.3461436091742
"07109",-92.3258488380357,17.1855592804986
"07110",-92.7237813258098,16.6224702701857
"07111",-92.7819809623038,16.7219158390696
"07112",-92.39166784024,16.9301599423754
"07113",-92.690176037822,16.9218308579741
"07114",-90.562508719686,16.2818361446649
"07115",-91.2485950683824,16.1991938450093
"07116",-90.7434229306332,16.2463500411471
"07117",-92.6643904309796,15.6716776399341
"07118",-92.8030898628269,17.1540145416393
"07119",-92.721548603884,16.9493638826183
"08001",-106.380692048942,30.4492369029018
"08002",-105.588569023117,29.073286276555
"08003",-105.30549274204,27.0949484668819
"08004",-105.823458988091,28.5822325520837
"08005",-107.519855201101,31.3319744238029
"08006",-107.291642816246,28.8579967302534
"08007",-106.542942253741,26.7530624116073
"08008",-107.693296622816,26.9454501049909
"08009",-107.580117059515,27.8078398794151
"08010",-107.121400712901,30.0581388390987
"08011",-104.423656287812,28.0336976784017
"08012",-107.063250570469,27.8101458818148
"08013",-108.202293414191,30.1939195876204
"08014",-105.069962534215,26.6339395150151
"08015",-105.207783513534,29.7570388236752
"08016",-105.044864452105,27.8976530306181
"08017",-106.948693679267,28.7234698336423
"08018",-106.896930293468,28.2116341858399
"08019",-106.232516926469,29.0005378263403
"08020",-108.516365957163,27.4559563145341
"08021",-105.491859122618,28.1194915909997
"08022",-106.461146828426,27.9999719896609
"08023",-107.644640568582,30.1607488550495
"08024",-106.349551059667,28.321201028095
"08025",-107.737315649279,29.336563275048
"08026",-106.569422484714,28.2987850808926
"08027",-107.24776483879,27.1504416782615
"08028",-105.64050971576,30.8272701344807
"08029",-107.033936826477,26.1679802563986
"08030",-108.274056522824,27.3909513005051
"08031",-107.558053429106,28.3850976838252
"08032",-105.697036706216,27.1290434021911
"08033",-106.067937755453,27.0693181760944
"08034",-107.723540695645,29.7220933686144
"08035",-108.450224439787,30.8493526596679
"08036",-104.390702402714,27.0821086376255
"08037",-106.564113472931,31.4496653506933
"08038",-105.054504717776,28.5410107448971
"08039",-105.010975787696,26.9262212305208
"08040",-108.329323715,29.3269333811594
"08041",-107.973295237615,27.8363033027561
"08042",-103.824634629369,28.9288978632748
"08043",-107.720632507107,28.824100655085
"08044",-105.52291792104,26.7250573836955
"08045",-105.501463542363,28.3506236033324
"08046",-107.728130775031,26.5715348119756
"08047",-108.737254286542,28.1527470446408
"08048",-107.140384444932,29.2952601525455
"08049",-106.684254396127,27.4245846285348
"08050",-107.729061447279,30.5328489819321
"08051",-108.204804125979,28.1536304907299
"08052",-104.525295978097,29.3642199557696
"08053",-105.925883449692,31.2381627428237
"08054",-106.617045407506,28.8062950799805
"08055",-105.747824690722,28.205048976778
"08056",-106.314686342495,27.268898562043
"08057",-106.735186497257,27.8924987680531
"08058",-105.362255691995,27.5821276052336
"08059",-105.946238335759,26.8852516964686
"08060",-105.782921778782,26.8039226727325
"08061",-106.193086113075,27.7786177109773
"08062",-105.3430296679,28.0010893559469
"08063",-108.084827731046,28.7147746334418
"08064",-106.297438005366,27.0451020193897
"08065",-107.976411534477,27.2263010640203
"08066",-108.506555982777,27.8616404275855
"08067",-105.808327648772,27.487054437342
"09002",-99.182106991398,19.4853286279153
"09003",-99.1503763828109,19.3266672023845
"09004",-99.3107285059315,19.3246342646839
"09005",-99.1158642175891,19.5040651845292
"09006",-99.0943296795204,19.3969118830702
"09007",-99.0567986648794,19.3491632446878
"09008",-99.2684128889591,19.2689765679433
"09009",-99.0510954174782,19.1394566110607
"09010",-99.2468197163051,19.3361755967562
"09011",-99.0028163305466,19.2769948222035
"09012",-99.2062208080274,19.1983396197823
"09013",-99.090363655569,19.2451449676455
"09014",-99.1611346289733,19.3806423375063
"09015",-99.149055763163,19.431373469936
"09016",-99.2045669330341,19.4280623812716
"09017",-99.0931058021455,19.4304954426114
"10001",-104.935886167111,24.5111158586813
"10002",-106.451108178603,25.0727219621237
"10003",-104.783741798843,25.0339757840308
"10004",-103.70028740889,24.694805557804
"10005",-104.843701224394,23.9704825629743
"10006",-103.212078647377,24.7615132356623
"10007",-103.490631833474,25.7279772764203
"10008",-104.073277901869,24.4126744138641
"10009",-106.067224200811,25.9963157248786
"10010",-104.817083698355,26.0903383929392
"10011",-104.995537109361,25.726226338304
"10012",-103.685834445719,25.4776453220356
"10013",-104.131328487703,26.1459984802688
"10014",-104.55068818441,23.0021138339508
"10015",-104.077685887458,25.247098369061
"10016",-104.211114775194,23.8138602152799
"10017",-105.676693149885,26.4818729616489
"10018",-105.215850547653,25.5490241525135
"10019",-105.936428779381,24.7014490204664
"10020",-104.354041831649,24.4948575049644
"10021",-104.082324591758,24.7859870124383
"10022",-104.021947674787,24.0035552047216
"10023",-105.314265594663,23.4114424770489
"10024",-104.561623614031,25.1953036914687
"10025",-105.672447364492,26.1841149313745
"10026",-105.742284661928,24.2284869035883
"10027",-102.718036262112,24.6475260625931
"10028",-104.470401139416,24.807353400206
"10029",-104.306485779773,25.3761024924288
"10030",-104.398245116016,25.6218990418714
"10031",-103.413778468179,24.4977605178534
"10032",-105.690421946259,24.9841569299411
"10033",-104.149630975476,23.4368829961037
"10034",-106.71199434662,24.946757041958
"10035",-106.061625393068,25.4502441804647
"10036",-103.625483740025,26.3449639230892
"10037",-106.589744233655,25.2567626311375
"10038",-103.951054451246,23.7333399146075
"10039",-105.038031193739,24.8466949891445
"11001",-101.536011977241,20.5332309488739
"11002",-100.751967151977,20.0524669008106
"11003",-100.737727376901,20.925250575018
"11004",-100.573520105846,20.4218413424341
"11005",-100.621735731449,20.5755118287656
"11006",-99.8044443772576,21.265199384044
"11007",-100.787864957885,20.5375655961567
"11008",-101.879783984068,20.7129473255093
"11009",-100.791122727329,20.7412725340031
"11010",-100.383597884129,20.2170007290838
"11011",-100.938370286726,20.4291136608398
"11012",-101.668009580319,20.6152262179198
"11013",-100.35963418096,21.1416036320396
"11014",-100.934777292493,21.1470168471561
"11015",-101.237328952779,21.0184543686133
"11016",-101.499004006976,20.3673654609049
"11017",-101.368320765276,20.6998135009729
"11018",-101.052088683779,20.3587970949847
"11019",-100.507882407869,20.1971082946878
